Time,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Orientation W,Orientation X,Orientation Y,Orientation Z,Yaw
2019-04-21 02:45:31.123841,-1.75539035,-0.40207265,9.3359308,0.0208655390888,-0.0227761548012,-0.0110472738743,-0.798921022077,-0.0148049116543,-0.0727200685068,0.596839850136,163.76
2019-04-21 02:45:33.295536,-1.75539035,-0.40207265,9.3359308,0.0187550615519,-0.0238679759204,-0.0165744777769,-0.798892257828,-0.0151930467094,-0.0726744535285,0.596874153836,166.8
2019-04-21 02:45:33.372441,-1.75539035,-0.40207265,9.3359308,0.0128110274673,-0.0255586653948,-0.0242813900113,-0.798771321242,-0.0154898260574,-0.0726861900314,0.597026933587,167.29
2019-04-21 02:45:33.488976,-1.75539035,-0.40207265,9.3359308,0.00855458341539,-0.0280124265701,-0.0322575345635,-0.798550263542,-0.0156807423861,-0.0727273347877,0.597312586247,167.29
2019-04-21 02:45:33.579305,-1.75539035,-0.40207265,9.3359308,0.00104915583506,-0.0306632500142,-0.0379517115653,-0.798250274666,-0.0157276258654,-0.0727898608023,0.597704590032,167.29
2019-04-21 02:45:33.669768,-1.75539035,-0.40207265,9.3359308,-0.00540946470574,-0.0332186594605,-0.0439579002559,-0.797868065327,-0.0156114485349,-0.0728750356467,0.598207373897,167.29
2019-04-21 02:45:33.782087,-1.7259704,-0.20593965,9.4928372,-0.0122734494507,-0.0353148840368,-0.0487130619586,-0.797426831398,-0.0153483117082,-0.0729868272156,0.598788611237,167.96
2019-04-21 02:45:33.882472,-1.7259704,-0.20593965,9.4928372,-0.0187684223056,-0.0356006138027,-0.0512316301465,-0.79694480179,-0.0149564631219,-0.0731394404858,0.599421312063,167.96
2019-04-21 02:45:33.984214,-1.7259704,-0.20593965,9.4928372,-0.0237091854215,-0.0334415026009,-0.053584985435,-0.796425383072,-0.0144828805475,-0.0733613066485,0.600095804065,167.96
2019-04-21 02:45:34.076105,-1.7259704,-0.20593965,9.4928372,-0.0260813105851,-0.03168258816,-0.0541827231646,-0.795897755815,-0.0139868210424,-0.0736110477244,0.600776618036,168.55
2019-04-21 02:45:34.172894,-1.7259704,-0.20593965,9.4928372,-0.0270683635026,-0.0276168230921,-0.0531057566404,-0.795355836055,-0.0134886439132,-0.0739186300087,0.601467527533,168.55
2019-04-21 02:45:34.269704,-1.7259704,-0.20593965,9.4928372,-0.0255556032062,-0.022796580568,-0.0496884733438,-0.794842276034,-0.0130540696876,-0.0742519585432,0.60211460217,168.55
2019-04-21 02:45:34.372839,-1.7259704,-0.20593965,9.4928372,-0.0231376159936,-0.0172521844506,-0.0462496429682,-0.794357883213,-0.0127067818085,-0.0746278436791,0.602714506231,168.93
2019-04-21 02:45:34.425469,-1.7259704,-0.20593965,9.4928372,-0.0181487984955,-0.0106939822435,-0.04041775316,-0.793942802868,-0.0125191744921,-0.0750128423379,0.603217348497,168.93
2019-04-21 02:45:34.530601,-1.7259704,-0.20593965,9.4928372,-0.0144556462765,-0.00490161962807,-0.0344308055937,-0.793612565243,-0.0124749776876,-0.0753963416613,0.603604889712,168.93
2019-04-21 02:45:34.620852,-1.7259704,-0.20593965,9.4928372,-0.00907414034009,-0.000425997830462,-0.0290448013693,-0.793298058342,-0.0125564823363,-0.0758105813119,0.603964635672,168.93
2019-04-21 02:45:34.717791,-1.7259704,-0.20593965,9.4928372,-0.00467036059126,0.00348725402728,-0.0241915266961,-0.793053390833,-0.0127522879978,-0.0761900874006,0.604234034974,169.74
2019-04-21 02:45:34.815824,-1.7259704,-0.20593965,9.4928372,0.000708865583874,0.00626437878236,-0.0219777189195,-0.792827401311,-0.0130751032482,-0.0765667752602,0.604476039502,169.74
2019-04-21 02:45:34.901203,-1.7259704,-0.20593965,9.4928372,0.00322759244591,0.00813406798989,-0.0190867912024,-0.792641858997,-0.0134603018003,-0.0769183702307,0.6046662451,169.74
2019-04-21 02:45:35.005506,-1.57887065,-0.42168595,9.32612415,0.00358487246558,0.00886070821434,-0.0191571936011,-0.792453945339,-0.0138671448133,-0.0772679761559,0.604858749356,170.02
2019-04-21 02:45:35.109854,-1.57887065,-0.42168595,9.32612415,0.00726380571723,0.0112610282376,-0.0210656523705,-0.792243455563,-0.0143838549939,-0.0776443054747,0.605074188559,170.02
2019-04-21 02:45:35.207472,-1.57887065,-0.42168595,9.32612415,0.00905031338334,0.0124570243061,-0.0238311029971,-0.792007737321,-0.0149152020544,-0.0779837494348,0.605326205939,170.02
2019-04-21 02:45:35.298674,-1.57887065,-0.42168595,9.32612415,0.0128448372707,0.0147525072098,-0.0277743712068,-0.791707903964,-0.0155424881729,-0.0783486400884,0.60565544368,170.45
2019-04-21 02:45:35.387674,-1.57887065,-0.42168595,9.32612415,0.0160480681807,0.016106499359,-0.0322392918169,-0.791354327222,-0.0162376557527,-0.0787027636122,0.606053250401,170.45
2019-04-21 02:45:35.483293,-1.57887065,-0.42168595,9.32612415,0.0186390168965,0.0170067306608,-0.0348285473883,-0.790962081976,-0.0169796129873,-0.079027849804,0.60650249511,170.45
2019-04-21 02:45:35.531335,-1.57887065,-0.42168595,9.32612415,0.0260262005031,0.0166944228113,-0.036390401423,-0.790543859098,-0.0178317885506,-0.0793067439339,0.606986716928,170.45
2019-04-21 02:45:35.622443,-1.57887065,-0.42168595,9.32612415,0.0270612761378,0.0145411724225,-0.0370207093656,-0.790120769634,-0.0186993064632,-0.0795074906517,0.607485032129,171.52
